"rt.1D";"rt.2D";"adjusted";"rt.2D.adjusted";"compound";"filename";"formula";"halogens";"similarity";"reverse.similarity";"category.1";"category.2";"category.3";"category.4";"sample";"instrument";"comment"
1339.5;1.422;"FALSE";1.422;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1339.5;1.324;"FALSE";1.324;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1350;1.576;"FALSE";1.576;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1367.5;1.132;"FALSE";1.132;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1374.5;1.279;"FALSE";1.279;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1381.5;1.086;"FALSE";1.086;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1388.5;1.452;"FALSE";1.452;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1402.5;1.42;"FALSE";1.42;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1413;1.737;"FALSE";1.737;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1430.5;1.25;"FALSE";1.25;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1462;1.62;"FALSE";1.62;"PCB (4Cl) - not included in this library";"NA";"C12H6Cl4";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1416.5;1.2;"FALSE";1.2;"PCB (5Cl) - not included in this library";"NA";"C12H5Cl5";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1420;1.02;"FALSE";1.02;"PCB (5Cl) - not included in this library";"NA";"C12H5Cl5";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1427;1.339;"FALSE";1.339;"PCB (5Cl) - not included in this library";"NA";"C12H5Cl5";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1437.5;1.632;"FALSE";1.632;"PCB (5Cl) - not included in this library";"NA";"C12H5Cl5";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1441;1.46;"FALSE";1.46;"PCB (5Cl) - not included in this library";"NA";"C12H5Cl5";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1472.5;1.315;"FALSE";1.315;"PCB (5Cl) - not included in this library";"NA";"C12H5Cl5";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1455;1.098;"FALSE";1.098;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1479.5;1.473;"FALSE";1.473;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1511;1.761;"FALSE";1.761;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1525;1.424;"FALSE";1.424;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1532;1.545;"FALSE";1.545;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1549.5;1.078;"FALSE";1.078;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1556.5;1.216;"FALSE";1.216;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1560;1.337;"FALSE";1.337;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1581;1.536;"FALSE";1.536;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1598.5;1.566;"FALSE";1.566;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1623;1.42;"FALSE";1.42;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1626.5;1.939;"FALSE";1.939;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1647.5;1.737;"FALSE";1.737;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1651;1.846;"FALSE";1.846;"PCB (6Cl) - not included in this library";"NA";"C12H4Cl6";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1549.5;1.394;"FALSE";1.394;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1584.5;1.714;"FALSE";1.714;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1598.5;1.337;"FALSE";1.337;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1616;1.413;"FALSE";1.413;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1626.5;1.541;"FALSE";1.541;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1630;1.743;"FALSE";1.743;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1637;1.862;"FALSE";1.862;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1644;1.875;"FALSE";1.875;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1654.5;1.477;"FALSE";1.477;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1661.5;1.591;"FALSE";1.591;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1693;2.001;"FALSE";2.001;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1724.5;1.733;"FALSE";1.733;"PCB (7Cl) - not included in this library";"NA";"C12H3Cl7";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1640.5;1.521;"FALSE";1.521;"PCB (8Cl) - not included in this library";"NA";"C12H2Cl8";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1654.5;1.687;"FALSE";1.687;"PCB (8Cl) - not included in this library";"NA";"C12H2Cl8";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1675.5;1.865;"FALSE";1.865;"PCB (8Cl) - not included in this library";"NA";"C12H2Cl8";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
1700;1.655;"FALSE";1.655;"PCB (8Cl) - not included in this library";"NA";"C12H2Cl8";"chlorinated";;;"anthropogenic";"PCB";"Reference Database MS";"NA";"Delphinus delphis blubber, Atlantic Ocean, 2006";"GCxGC-TOF, electron impact";
